Kolcsonozheto?	Belso ID	Azonosító	Szerző	Cím	Műfaj	Megjegyzés	Nyelv	Visszavárható
Igen	19723	20200174	外務省Gaimushou	外交青書 2020Gaikou Seisho 2020	236 - Diplomácia, nemzetközi problémák 外交・国際問題	ISBN nincs	02 - japán	
Igen	19722	20200173		Diplomatic Bluebook 2020	148 - Külkapcsolatok 外交関係	ISBN nincs	03 - angol	
Igen	19721	20200172	山田悠介Yamada Yuusuke	その時までサヨナラSono toki made sayonara	913.1 - Zsebkönyvek 文庫や3116	ISBN978-4-286-11964-9 C0193	02 - japán	
Igen	19720	20200171	宮部みゆきMiyabe Miyuki	心とろかすような　マサの事件簿Kokoro torokasu you na   Masa no jikenbo	913.1 - Zsebkönyvek 文庫み3629	ISBN4-488-41102-9 C0193	02 - japán	
Igen	19719	20200170	平岩弓枝Hiraiwa Yumie	白萩屋敷の月Shirahagiyashiki no tsuki	913.1 - Zsebkönyvek 文庫ひ3902	ISBN4-16-716889-8	02 - japán	
Igen	19718	20200169	内田康夫Uchida Yasuo	氷雪の殺人Hyousetsu no satsujin	913.1 - Zsebkönyvek 文庫う1716	ISBN4-408-50385-1	02 - japán	
Igen	19717	20200168	東野圭吾Higashino Keigo	疾風ロンドShippuu Rondo	913.1 - Zsebkönyvek 文庫ひ0612	ISBN978-4-408-55148-7	02 - japán	
Igen	19716	20200167	東野圭吾Higashino Keigo	ブルータスの心臓Buruutasu no Shinzou	913.1 - Zsebkönyvek 文庫ひ0612	ISBN978-4-334-71739-1	02 - japán	
Igen	19715	20200166	東野圭吾Higashino Keigo	赤い指Akai Yubi	913.1 - Zsebkönyvek 文庫ひ0612	ISBN978-4-06-276444-5	02 - japán	
Igen	19714	20200165	Csendom Andrea	書物・出版と社会変容 第20号Shomotsu Shuppan to Shakai Hen’you Dai 20 Gou	910 - Japán irodalom 日本文学	Japán kutatás részleg, ISSN 2185-1131	02 - japán	
Igen	19713	20200164	Romuald Huszcza, Aleksandra Szczechla	W kregu Yukiguni	901 - Irodalomtörténet, értekezések 文学史・文学論	ISBN 978-83-233-4878-8	98 - kétnyelvű	
Igen	19712	20200163	Martin Collcutt, Marius Jansen, Kumakura Isao	A japán világ atlaszaA japan vilag atlasza	033 - Japánnal kapcsolatos 日本について	ISBN 963-208-422-5	01 - magyar	
Igen	19710	20200162	Farkas Ildikó (szerk.), Sági Attila (szerk.)	Kortárs Japanológia 3.	100 - Humán tudományok 人文科学	ISBN 978-963-414-546-2  Japánkutatás	01 - magyar	
Igen	19711	20200161	Erich Fromm, Daisetz Teitaro Suzuki	Zen buddhizmus és pszichoanalízis	132 - Zen buddhizmus 禅	ISBN 963-227-047-9	01 - magyar	
Igen	19703	20200160	田中慎弥Tanaka Shinya	共食いTomogui	913.1 - Zsebkönyvek 文庫た2106	ISBN 978-4-08-745023-1  C0193	02 - japán	
Igen	19704	20200159	沼田真佑Numata Shinsuke	影裏Eiri	913.1 - Zsebkönyvek 文庫ぬ3116	ISBN 978-4-16-791347-2  C0193	02 - japán	
Igen	19705	20200158	高橋弘希Takahashi Hiroki	送り火Okuribi	913.1 - Zsebkönyvek 文庫た0626	ISBN 978-4-16-791542-1  C0193	02 - japán	
Igen	19706	20200157	山崎豊子Yamasaki Toyoko	大地の子 三Daichi no ko 3	913.1 - Zsebkönyvek 文庫や3111	ISBN978-4-16-755603-7 C0193	02 - japán	
Igen	19707	20200156	多和田葉子Tawada Yoko	雪の練習生Yuki no renshuusei	913.1 - Zsebkönyvek 文庫た4416		02 - japán	
Igen	19708	20200155	永井荷風Nagai Kafuu	すみだ川・新橋夜話Sumidagawa・Shinkyou yawa	913.1 - Zsebkönyvek 文庫な0602	ISBN4-00-310422-6 C0193	02 - japán	
